StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,ID,Gender,Task t1,Task t2,Task e1,Task e2,Task Ratings_1,Task Ratings_2,Task Sentiment,block2progress,random
1/31/2024 15:34,1/31/2024 15:36,0,100,174,1,1/31/2024 15:37,R_64I2RiYFp0Wo1SA,anonymous,EN,015869477,1,74,38,3,0,4,2,"I felt that the first task was more difficult because it required me to think before i started to write, the other one didn't make me do that it became almost automatic",,2
1/31/2024 15:34,1/31/2024 15:37,0,100,176,1,1/31/2024 15:37,R_6G0AYCVxQYfleRz,anonymous,EN,014391117,1,69,35,1,1,4,1,It does require more thought in writing each character.,,1
1/31/2024 15:29,1/31/2024 15:37,0,100,456,1,1/31/2024 15:37,R_7RTnsMaNmIZtGLf,anonymous,EN,015128607,,59.19,34.25,1,1,4,1,"For task 1, there were too many things to keep track of. Keeping track of the letters and what number I was on kept getting me stuck. Task 2 was simple, only needing to focus on one task at a time.",,2
1/31/2024 15:34,1/31/2024 15:37,0,100,204,1,1/31/2024 15:37,R_6pVRM5ptdefrRrJ,anonymous,EN,14496066,1,60.92,31.4,0,0,4,1,I had to take a moment to think and realize where I was in the sentence and numerical order for task 1.  Whereas task 2 felt fluid and natural.  ,,1
1/31/2024 15:35,1/31/2024 15:38,0,100,212,1,1/31/2024 15:39,R_5lsfL3AgNbDVDy9,anonymous,EN,015292602,1,54.03,35.29,2,0,4,1,Task 1 felt more difficult because of the switching between the letters and numbers while in Task 2 there was no switching and was more focus on writing each line.,,1
1/31/2024 15:35,1/31/2024 15:40,0,100,256,1,1/31/2024 15:40,R_3eh7e0rB34cRN5z,anonymous,EN,015667782,2,48,31,0,0,3,2,Task 1 felt more difficult because you constantly had to keep switching from one row to the other.,,2
1/31/2024 15:34,1/31/2024 15:40,0,100,364,1,1/31/2024 15:40,R_6ysDBYZqKc1lwl8,anonymous,EN,016933566,,56.79,33.17,0,0,4,2,Task 1 seemed more difficult because my mind was preoccupied with 2 things at once while task 2 allowed me to do one task at a time which was easier.,,1
1/31/2024 15:27,1/31/2024 15:40,0,100,773,1,1/31/2024 15:40,R_5HuUQCWdLmxdXLk,anonymous,EN,017221035,1,59.23,33.63,1,0,2,1,Task 1 requires my hand to travel more and something thinking at times when starting or ending a word.,,2
1/31/2024 15:38,1/31/2024 15:42,0,100,241,1,1/31/2024 15:42,R_3QhvsFFtwKLlskN,anonymous,EN,017156178,1,48,26,0,0,4,1,"Task 1 was more difficult because you had to remember to properly spell each word in the phrase, and still remembering the number you were on.",,1
1/31/2024 15:27,1/31/2024 15:42,0,100,938,1,1/31/2024 15:42,R_3RdwyGvnenuLyU3,anonymous,EN,014637350,1,95,38,1,0,2,1,Task one was more difficult because of the continuous task switching.,,2
